Label,Model,F1_mean,F1_std,BAS_mean,BAS_std,GM_mean,GM_std
Product issues,RandomForest,0.0,0.0,0.4996441281138789,0.0007117437722419905,0.0,0.0
Product issues,XGBoost,0.0,0.0,0.4971504106619383,0.00182565638428511,0.0,0.0
Skin and subcutaneous tissue disorders,RandomForest,0.9582034492271724,0.010289864863614103,0.5568446267427601,0.023482413638082882,0.34541032234337593,0.07735817590155357
Skin and subcutaneous tissue disorders,XGBoost,0.9145883981338748,0.008090299856887103,0.6010911042518184,0.021704783526732687,0.5249183976853449,0.039618515924277106
Nervous system disorders,RandomForest,0.9507636234142718,0.0077358249405047345,0.5670333140466218,0.02972162368209053,0.3808369505062254,0.08314354846345455
Nervous system disorders,XGBoost,0.9106061714853164,0.0056960925548241005,0.641464315143677,0.042083351240578125,0.5887552324810468,0.0677805804995966
"Respiratory, thoracic and mediastinal disorders",RandomForest,0.8298603195561631,0.01394045183882547,0.5547482142290121,0.009943952960726678,0.4275534177985055,0.02572871706843878
"Respiratory, thoracic and mediastinal disorders",XGBoost,0.7703360443489101,0.018407240601890196,0.6058873193287203,0.031092175847046856,0.5873551103648496,0.04091118274910587
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",RandomForest,0.36417332952471404,0.06599757733565541,0.6042053818562568,0.025397730117894757,0.49038583513611994,0.05850822890433181
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",XGBoost,0.45459495320176435,0.05058783027048418,0.6353740389390683,0.03666308697420763,0.6015937755112575,0.05414158820168345
Immune system disorders,RandomForest,0.8129254492194237,0.023484041351983898,0.5716691063536625,0.03253082660681938,0.4737961881003324,0.05400192602689704
Immune system disorders,XGBoost,0.7560884464585464,0.008754756309837734,0.596853076839,0.01658632185462399,0.5773142957812523,0.026922634685910867
Ear and labyrinth disorders,RandomForest,0.5748073638833245,0.024135884897704626,0.6158474012637691,0.018097718239240838,0.6126038012580853,0.019242314083885364
Ear and labyrinth disorders,XGBoost,0.5768100617378298,0.030699973243554807,0.604122045461468,0.021060738365636898,0.6030125362859537,0.02147214247726525
Hepatobiliary disorders,RandomForest,0.7146682845869654,0.013554561626562711,0.6904404670689017,0.008109945980061102,0.6882783115097314,0.008519140783591754
Hepatobiliary disorders,XGBoost,0.6830241021611974,0.026995639858217752,0.6689932443030993,0.022794651329453346,0.6680465691650699,0.021841692692814597
Reproductive system and breast disorders,RandomForest,0.6850910888641701,0.018073928653178604,0.673582231315628,0.026969431690003532,0.6730861899140909,0.02709496599318214
Reproductive system and breast disorders,XGBoost,0.6715029454066814,0.016330549158747723,0.6640909360482447,0.015481572505389795,0.6639570562635575,0.015465476666867423
